trackId,length,width,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1406,3.94,1.65,8643,8966,324,car,1,133.99,11.74,12.86,12.46,14.51,1.15,30.79,1
1407,4.01,1.48,8644,8898,255,car,1,133.86,15.62,17.01,15.93,32.66,2.07,16.59,0
1408,4.24,1.64,8645,9057,413,car,2,136.11,7.18,10.8,9.77,-1.0,-1.0,-1.0,0
1409,3.9,1.44,8650,9818,1169,car,2,133.78,1.54,5.6,3.42,1.95,1.11,3.89,0
1410,3.78,1.83,8654,8680,27,car,1,3.38,3.59,3.71,3.67,-1.0,-1.0,-1.0,0
1411,3.79,1.48,8659,9818,1160,car,2,106.61,0.06,5.31,2.71,1.65,1.03,3.49,0
1412,3.75,1.56,8660,8955,296,car,1,134.85,12.81,14.31,13.69,67.27,5.06,-1.0,0
1413,3.83,1.61,8673,8992,320,car,1,135.11,12.05,13.52,12.78,27.3,2.14,44.02,0
1414,3.87,1.83,8676,8821,146,car,2,35.35,6.21,8.34,7.26,-1.0,-1.0,-1.0,1
1415,4.13,1.57,8681,9818,1138,car,2,129.56,2.13,5.02,3.38,4.65,1.79,11.28,0
1416,3.6,1.5,8691,8938,248,car,1,133.28,15.83,16.6,16.21,17.06,1.06,24.24,0
1417,3.79,1.54,8694,8995,302,car,1,134.92,13.23,13.73,13.47,10.72,0.8,43.03,0
1418,3.56,1.47,8701,9107,407,car,2,134.72,9.26,10.78,9.95,-1.0,-1.0,-1.0,0
1419,4.91,2.02,8709,9030,322,truck,1,134.92,11.56,12.87,12.55,28.88,2.47,9.5,0
1420,3.87,1.57,8715,9818,1104,car,2,123.21,1.32,5.07,3.3,4.01,1.46,4.72,0
1421,3.75,1.5,8728,8979,252,car,1,133.78,15.89,16.1,15.99,16.76,1.05,68.84,0
1422,3.64,1.46,8737,9818,1082,car,2,97.93,0.05,5.2,2.67,1.99,1.42,2.89,0
1423,3.9,1.57,8738,9057,320,car,1,134.46,11.99,14.22,12.69,16.61,1.27,9.92,0
1424,3.75,1.46,8741,9504,764,car,2,136.36,2.71,6.99,5.42,10.99,2.39,12.75,1
1425,4.09,1.54,8748,9818,1071,car,2,104.61,0.72,3.85,2.9,1.57,0.7,6.65,0
1426,3.46,1.5,8758,9190,433,car,2,135.53,8.99,10.33,9.48,-1.0,-1.0,-1.0,0
1428,3.86,1.65,8778,9098,321,car,1,134.55,12.32,12.94,12.66,15.9,1.23,16.79,2
1427,7.69,2.12,8779,9818,1040,truck,2,98.23,1.32,5.87,2.83,1.61,0.68,4.9,0
1429,3.75,1.56,8787,9023,237,car,1,132.94,16.31,17.02,16.85,20.89,1.23,20.2,0
1430,3.98,1.7,8789,8918,130,car,2,35.99,6.16,9.19,8.14,-1.0,-1.0,-1.0,1
1431,3.69,1.61,8807,9080,274,car,1,110.04,11.93,12.2,12.1,-1.0,-1.0,-1.0,3
1432,4.29,1.67,8808,9253,446,car,2,136.21,8.83,9.91,9.24,-1.0,-1.0,-1.0,0
1433,3.94,1.46,8815,9818,1004,car,2,98.06,1.62,4.78,2.87,2.55,0.77,5.14,0
1434,3.71,1.43,8824,9361,538,car,2,135.07,3.49,11.12,7.49,4.16,1.01,3.04,1
1435,3.83,1.52,8830,9818,989,car,2,88.33,0.04,4.69,2.66,2.85,2.02,3.49,0
1436,3.52,1.68,8832,8854,23,car,1,3.04,3.04,3.3,3.2,-1.0,-1.0,-1.0,0
1437,3.92,1.52,8835,9818,984,car,2,110.91,2.06,4.5,3.35,3.56,0.89,4.45,4
1438,3.71,1.54,8837,9078,242,car,1,133.89,16.47,16.75,16.65,24.52,1.49,14.1,1
1439,3.83,1.46,8846,9818,973,car,2,95.98,1.55,4.81,2.96,0.64,0.3,5.45,0
1440,3.83,1.54,8865,9123,259,car,1,133.97,14.63,16.0,15.53,13.2,0.88,53.56,1
1441,3.68,1.57,8869,9217,349,car,1,134.68,10.63,13.06,11.68,33.41,2.57,78.33,1
1442,3.73,1.57,8885,9253,369,car,1,113.29,8.96,9.51,9.25,-1.0,-1.0,-1.0,3
1443,3.9,1.43,8889,9818,930,car,2,74.83,1.35,3.51,2.41,2.21,0.64,10.5,0
1444,3.75,1.48,8891,9205,315,car,1,135.34,11.56,13.53,12.87,9.94,0.86,-1.0,0
1445,4.02,1.52,8900,9818,919,car,2,87.62,1.86,5.62,2.87,3.71,1.21,6.53,0
1446,3.79,1.48,8902,9566,665,car,2,135.93,4.36,8.15,6.18,5.47,1.02,8.81,1
1447,4.0,1.68,8924,9290,367,car,1,111.42,8.86,9.42,9.13,-1.0,-1.0,-1.0,3
1448,3.68,1.39,8938,9818,881,car,2,82.95,0.14,4.56,2.81,1.61,1.56,2.46,0
1449,3.9,1.5,8957,9206,250,car,1,133.63,15.75,16.45,16.12,41.48,2.54,101.26,0
1450,4.02,1.61,8961,9310,350,car,2,135.56,10.09,12.61,11.63,-1.0,-1.0,-1.0,0
1451,4.09,1.52,8962,9818,857,car,2,78.58,1.71,4.62,2.74,2.25,0.88,3.89,0
1452,13.77,2.48,8965,9290,326,truck,1,134.36,6.59,13.55,12.11,101.62,8.8,-1.0,0
1453,3.9,1.48,8969,9818,850,car,2,67.41,1.24,3.59,2.36,0.86,0.6,5.02,0
1454,4.09,1.52,8987,9818,832,car,2,81.64,1.69,4.74,2.94,1.27,0.33,8.72,1
1455,3.9,1.48,9000,9818,819,car,2,78.24,0.21,4.6,2.83,1.01,0.79,2.27,0
1456,3.71,1.44,9003,9280,278,car,1,134.57,14.37,14.66,14.55,32.89,2.26,22.38,0
1457,4.03,1.89,9006,9023,18,car,1,2.43,3.54,3.64,3.6,-1.0,-1.0,-1.0,0
1458,3.94,1.57,9012,9340,329,car,1,135.67,11.25,12.82,12.38,113.4,9.58,-1.0,0
1459,3.64,1.46,9022,9671,650,car,2,135.67,4.3,9.96,6.38,13.57,2.34,9.3,1
1460,4.17,1.5,9025,9818,794,car,2,72.11,1.81,3.87,2.69,2.32,1.27,5.6,0
1461,3.98,1.57,9026,9277,252,car,1,133.33,14.08,16.18,15.8,5.66,0.36,4.99,1
1462,4.35,1.71,9037,9414,378,car,2,135.55,6.02,11.5,10.53,-1.0,-1.0,-1.0,0
1463,4.13,1.63,9052,9321,270,car,1,134.19,14.84,15.18,15.0,11.47,0.76,2.49,0
1464,3.86,1.48,9056,9330,275,car,1,133.59,14.57,14.69,14.64,11.62,0.79,-1.0,0
1465,4.5,1.69,9071,9818,748,car,2,72.64,1.97,4.37,2.91,1.57,0.5,1.01,1
1466,3.91,1.54,9073,9454,382,car,2,135.67,6.28,12.13,10.48,-1.0,-1.0,-1.0,0
1467,3.86,1.54,9078,9360,283,car,1,134.17,14.02,14.92,14.31,6.97,0.47,27.84,0
1468,4.2,1.5,9082,9818,737,car,2,62.21,1.27,3.45,2.5,0.11,0.04,7.54,0
1469,4.01,1.46,9094,9818,725,car,2,72.81,0.34,5.31,2.96,1.61,1.19,2.01,0
1470,3.99,1.63,9102,9406,305,car,1,113.22,10.77,11.45,11.21,-1.0,-1.0,-1.0,3
1471,3.74,1.9,9104,9124,21,car,1,2.68,3.9,3.94,3.92,-1.0,-1.0,-1.0,0
1472,3.81,1.52,9125,9494,370,car,2,136.07,9.43,12.07,11.04,-1.0,-1.0,-1.0,0
1473,4.24,1.56,9125,9818,694,car,2,64.8,1.87,4.02,2.76,2.36,0.81,4.82,0
1474,3.94,1.57,9126,9437,312,car,1,134.92,12.05,13.33,13.01,33.45,2.53,33.47,2
1475,4.01,1.57,9136,9401,266,car,1,134.31,15.13,15.47,15.26,57.67,3.78,63.52,0
1476,3.56,1.46,9158,9757,600,car,2,136.52,3.39,9.35,6.76,7.95,1.3,5.68,2
1477,4.13,1.5,9164,9818,655,car,2,68.14,0.88,5.37,3.09,0.53,0.57,0.92,0
1478,4.09,1.43,9172,9433,262,car,1,133.11,14.63,15.35,15.23,33.71,2.21,28.59,0
1479,3.75,1.5,9173,9464,292,car,1,134.61,13.37,14.16,13.87,55.88,4.18,-1.0,0
1480,4.35,1.54,9179,9818,640,car,2,58.88,1.55,3.82,2.75,4.42,1.24,6.34,0
